zpid,addressStreet,unit,addressCity,addressState,addressZipcode,homeType,beds,baths,area,pgapt,price,homeStatus,priceForHDP,taxAssessedValue,zestimate,rentZestimate,daysOnZillow,isPreforeclosureAuction,brokerName,latitude,longitude,hasOpenHouse,openHouseStartDate,openHouseEndDate,builderName,is_newHome,StreetNumber,Street
67489936,501 Hungerford Dr APT 465,Apt 465,Rockville,MD,20850,CONDO,1.0,1.0,632.0,ForSale,215753,FOR_SALE,215753,200000.0,217000.0,1915.0,15,False,Havarest Realty,39.09096,-77.15187,,,,,,501.0,Hungerford Dr
37122417,24 Courthouse Sq APT 604,Apt 604,Rockville,MD,20850,CONDO,2.0,2.0,1060.0,ForSale,318000,FOR_SALE,318000,355000.0,321000.0,2371.0,28,False,CC Homes,39.08425,-77.15161,,,,,,24.0,Courthouse Sq
37106618,735 Anderson Ave,,Rockville,MD,20850,SINGLE_FAMILY,4.0,2.0,2262.0,ForSale,664999,FOR_SALE,664999,577100.0,649100.0,3399.0,27,False,"Long & Foster Real Estate, Inc.",39.08761,-77.17038,,,,,,735.0,Anderson Ave
37202594,15316 Delphinium Ln,,Rockville,MD,20853,SINGLE_FAMILY,4.0,3.0,3020.0,ForSale,750000,FOR_SALE,750000,552100.0,748800.0,3386.0,7,False,"Long & Foster Real Estate, Inc.",39.10823,-77.09591,,,,,,15316.0,Delphinium Ln
37108970,822 New Mark Esplanade,,Rockville,MD,20850,TOWNHOUSE,3.0,4.0,1600.0,ForSale,599900,FOR_SALE,599900,504200.0,620100.0,3099.0,16,False,"Weichert, REALTORS",39.0739,-77.15632,,,,,,822.0,New Mark Esplanade
2058224832,16204 Connors Way,,Derwood,MD,20855,TOWNHOUSE,3.0,3.0,3159.0,ForSale,688000,FOR_SALE,688000,,698000.0,3750.0,72,False,Compass,39.125015,-77.167885,,,,,,16204.0,Connors Way
37107454,501 New Mark Esplanade,,Rockville,MD,20850,SINGLE_FAMILY,4.0,3.0,2060.0,ForSale,849000,FOR_SALE,849000,663300.0,849400.0,3587.0,7,False,Redfin Corp,39.07566,-77.15826,,,,,,501.0,New Mark Esplanade
37306226,4913 McCall St,,Rockville,MD,20853,SINGLE_FAMILY,3.0,2.0,1438.0,ForSale,528000,FOR_SALE,528000,370000.0,523500.0,2900.0,28,False,"Weichert, REALTORS",39.07058,-77.10019,,,,,,4913.0,McCall St
37100403,800 Lincoln St,,Rockville,MD,20850,SINGLE_FAMILY,3.0,2.0,2089.0,ForSale,529000,FOR_SALE,529000,427100.0,531300.0,3069.0,3,False,Red Maple Realtors Inc.,39.09041,-77.13583,,,,,,800.0,Lincoln St
67486098,501 Hungerford Dr APT 346,Apt 346,Rockville,MD,20850,CONDO,2.0,1.0,1085.0,ForSale,349999,FOR_SALE,349999,305000.0,350300.0,2199.0,36,False,RLAH @properties,39.09096,-77.15187,,,,,,501.0,Hungerford Dr
251687528,541 Shorthorn Way,,Rockville,MD,20850,TOWNHOUSE,3.0,4.0,1791.0,ForSale,650000,FOR_SALE,650000,582500.0,640100.0,3343.0,28,False,Ten Thousand Realty,39.111156,-77.18363,True,2023-09-23 13:00:00,2023-09-23 15:00:00,,,541.0,Shorthorn Way
37105497,1707 Grandin Ave,,Rockville,MD,20851,SINGLE_FAMILY,4.0,2.0,1683.0,ForSale,650000,FOR_SALE,650000,391800.0,632000.0,2998.0,92,False,Compass,39.07717,-77.12095,,,,,,1707.0,Grandin Ave
37104055,604 Crocus Dr,,Rockville,MD,20850,SINGLE_FAMILY,4.0,2.0,1958.0,ForSale,749700,FOR_SALE,749700,649000.0,738800.0,3278.0,15,False,RE/MAX Realty Services,39.09435,-77.17297,,,,,,604.0,Crocus Dr
37104173,730 Grandin Ave,,Rockville,MD,20850,SINGLE_FAMILY,5.0,4.0,2396.0,ForSale,725000,FOR_SALE,725000,445300.0,706100.0,3343.0,14,False,"EXP Realty, LLC",39.0818,-77.13904,True,2023-09-24 13:00:00,2023-09-24 15:00:00,,,730.0,Grandin Ave
37103129,1618 Burris Rd,,Rockville,MD,20851,SINGLE_FAMILY,3.0,1.0,1158.0,ForSale,480000,FOR_SALE,480000,390400.0,473000.0,2850.0,28,False,"Cuzzi Realty, Inc.",39.07524,-77.12278,,,,,,1618.0,Burris Rd
37122256,25 Blue Hosta Way,,Rockville,MD,20850,TOWNHOUSE,3.0,4.0,2472.0,ForSale,735000,FOR_SALE,735000,629700.0,721100.0,3634.0,30,False,"Libra Realty, LLC",39.0816,-77.16898,,,,,,25.0,Blue Hosta Way
37314145,14012 Bardot St,,Rockville,MD,20853,SINGLE_FAMILY,4.0,3.0,1822.0,ForSale,618000,FOR_SALE,618000,427600.0,612300.0,3070.0,13,False,"Panco Realty Co., LLC",39.08631,-77.09052,True,2023-09-24 13:00:00,2023-09-24 16:00:00,,,14012.0,Bardot St
